id,txt
A0A0J9YXG5,TRBJ1-4 (TJB14) | A0A0J9YXG5
A0A0J9YXM7,TRBJ1-5 (TJB15) | A0A0J9YXM7
A0A0J9YXQ4,PNMA6E (PMA6E) | A0A0J9YXQ4
A0A0J9YXX1,IGHV5-10-1 (HV5X1) | A0A0J9YXX1
A0A0J9YXY3,TRBV6-2 (TVB62) | A0A0J9YXY3
A0A0J9YY54,TEX13D (TX13D) | A0A0J9YY54
A0A0K0K1A3,TRBV10-1 (TVBJ1) | A0A0K0K1A3
A0A0K0K1A5,TRBV6-5 (TVB65) | A0A0K0K1A5
A0A0K0K1B3,TRBV30 (TVB30) | A0A0K0K1B3
A0A0K0K1C0,TRBV11-1 (TVBK1) | A0A0K0K1C0
A0A0K0K1C4,TRBV27 (TVB27) | A0A0K0K1C4
A0A0K0K1D8,TRBV6-1 (TVB61) | A0A0K0K1D8
A0A0K0K1E9,TRBV7-7 (TVB77) | A0A0K0K1E9
A0A0K0K1G6,TRBV10-3 (TVBJ3) | A0A0K0K1G6
A0A0K0K1G8,TRBV10-2 (TVBJ2) | A0A0K0K1G8
A0A0K2S4Q6,CD300H (CD3CH) | A0A0K2S4Q6
A0A0K2S4Q6-2,CD300H (CD3CH) | A0A0K2S4Q6-2
A0A0U1RQE8,GLYATL1B (GLYLB) | A0A0U1RQE8
A0A0U1RQF7,DPEP2NB (DP2NB) | A0A0U1RQF7
A0A0U1RQI7,  (KLF18) | A0A0U1RQI7
A0A0U1RQS6,TMEM275 (TM275) | A0A0U1RQS6
A0A0U1RR11,CENPVL1 (CENL1) | A0A0U1RR11
A0A0U1RR37,C1orf232 (CA232) | A0A0U1RR37
A0A0U1RRA0,ZNF593OS (ZNOS) | A0A0U1RRA0
A0A0U1RRE5,NBDY (NBDY) | A0A0U1RRE5
A0A0U1RRI6,CENPVL3 (CENL3) | A0A0U1RRI6
A0A0U1RRK4,LBHD2 (LBHD2) | A0A0U1RRK4
A0A0U1RRL7,MMP24OS (MMPOS) | A0A0U1RRL7
A0A0U1RRN3,SPTY2D1OS (SPTOS) | A0A0U1RRN3
A0A0X1KG70,OR4M2B (ORM2B) | A0A0X1KG70
A0A183,LCE6A (LCE6A) | A0A183
A0A1B0GTC6,C3orf85 (CC085) | A0A1B0GTC6
A0A1B0GTD5,TEX49 (TEX49) | A0A1B0GTD5
A0A1B0GTH6,CSNKA2IP (CS2IP) | A0A1B0GTH6
A0A1B0GTI1,CCDC201 (CC201) | A0A1B0GTI1
A0A1B0GTI8,TMEM272 (TM272) | A0A1B0GTI8
A0A1B0GTI8-2,TMEM272 (TM272) | A0A1B0GTI8-2
A0A1B0GTK4,FAM237A (F237A) | A0A1B0GTK4
A0A1B0GTK5,FAM236D (F236D) | A0A1B0GTK5
A0A1B0GTL2,C20orf204 (CT204) | A0A1B0GTL2
A0A1B0GTQ4,MYMX (MYMX) | A0A1B0GTQ4
A0A1B0GTR0,EDDM13 (EDD13) | A0A1B0GTR0
A0A1B0GTR3,CXorf51A (CX05A) | A0A1B0GTR3
A0A1B0GTR4,SPRR5 (SPRR5) | A0A1B0GTR4
